state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,StateClosureStartDate,ClosureDateCat,Location,Governor.Political.Affiliation,State.Senate.Majority.Political.Affiliation,State.House.Majority.Political.Affiliation,State.Attorney.General.Political.Affiliation,State.Insurance.Commissioner.Political.Affiliation,closed,Region,POPESTIMATE2019,date_diff,percent_positive,positive_percent_change,percent_positive_percent_change,total_tests_percent_cange,hospitalized_percent_change,death_percent_change
DE,2020-04-24,3442,13937,NA,277,NA,NA,NA,NA,NA,703,c1596bffa65afeb5e92b852fd6c03c0ff18dcc8f,2020-04-24T20:00:00Z,100,NA,17379,17379,17379,10,8,0,333,134,467,2020-03-16,Early,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,South,973764,39,0.19805512400023018,0.04050785973397823,0.012547840715840424,0.02761352885525071,NA,0.08695652173913043
FL,2020-04-24,30174,286785,1287,NA,4888,NA,NA,NA,NA,NA,fa890ad76821cb6ad5e9791783d145d97a0810e3,2020-04-24T20:00:00Z,1031,4888,318246,316959,316959,12,52,195,18909,1342,20251,2020-03-16,Early,Florida,Republican,Republican,Republican,Republican,Appointed,TRUE,South,21477737,39,0.09481344620199468,0.046545504994450614,-0.020003460425430157,0.06790734508018215,0.04155124653739612,0.05311542390194075
GA,2020-04-24,22147,85029,NA,NA,4221,NA,NA,NA,NA,NA,11676a98fdace28912ee10f1b83d65e36e83ee0f,2020-04-24T20:00:00Z,892,4221,107176,107176,107176,13,20,152,5479,635,6114,2020-03-18,Middle,Georgia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,10617423,37,0.20664141225647534,0.029518408330234287,-0.029211864097062095,0.06049751637608597,0.03735561563037602,0.022935779816513763
HI,2020-04-24,596,26291,NA,NA,63,NA,NA,NA,NA,455,75e2e4832df0d3c479cf2d0f86fb7539d3db77c5,2020-04-24T20:00:00Z,12,63,26887,26887,26887,15,0,0,755,4,759,2020-03-23,Late,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,West,1415872,32,0.02216684643136088,0.006756756756756757,-0.02166325627027021,0.029049295774647887,0,0
IA,2020-04-24,4445,27528,NA,278,NA,104,NA,60,NA,1604,a027b7e49ed889fef7cc93da51537d75d749e4c0,2020-04-24T20:00:00Z,107,NA,31973,31973,31973,19,11,0,2190,521,2711,2020-03-16,Early,Iowa,Republican,Republican,Republican,Democrat,Appointed,TRUE,North Central,3155070,39,0.13902355112125855,0.13277268093781855,0.03672455386391442,0.09264575217004989,NA,0.11458333333333333
ID,2020-04-24,1836,17255,NA,NA,166,NA,63,NA,NA,822,3257af47faf310d2ac6c6679ef341524b31192a5,2020-04-24T20:00:00Z,54,166,19091,19091,19091,16,0,4,965,34,999,2020-03-23,Late,Idaho,Republican,Republican,Republican,Republican,Appointed,TRUE,West,1787065,32,0.09617097061442564,0.018867924528301886,-0.034447720681465156,0.05521777581251382,0.024691358024691357,0
IL,2020-04-24,39658,149974,NA,4828,NA,1225,NA,709,NA,NA,23545033f0633a7a83aae2b786efe9e74becc07d,2020-04-24T20:00:00Z,1795,NA,189632,189632,189632,17,107,0,13592,2724,16316,2020-03-17,Middle,Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,North Central,12671821,38,0.2091313702328721,0.07375318135051714,-0.01863289860507924,0.09414018324909414,NA,0.06338862559241706
IN,2020-04-24,13680,61873,NA,NA,NA,621,NA,325,NA,NA,03de8bae789b8e1f51090efc98b257e70ec01402,2020-04-24T20:00:00Z,741,NA,75553,75553,75553,18,35,0,2872,641,3513,2020-03-19,Late,Indiana,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,6732219,36,0.1810649477849986,0.04916021167267429,3.772416535011139e-4,0.04876457523598001,NA,0.049575070821529746
KS,2020-04-24,2777,20811,NA,NA,457,NA,NA,NA,NA,NA,900ef54698b0559a064c07ec32eb20f834b5b266,2020-04-24T20:00:00Z,111,457,23588,23588,23588,20,-1,15,1975,295,2270,2020-03-18,Middle,Kansas,Democrat,Republican,Republican,Republican,Republican,TRUE,North Central,2913314,37,0.11772935390876717,0.11885576148267527,0.011182259698630036,0.10648278450136035,0.033936651583710405,-0.008928571428571428
KY,2020-04-24,3481,39363,NA,302,1115,163,570,NA,NA,1335,3970f63ef7035af81d9398932b013c132bef9490,2020-04-24T20:00:00Z,191,1115,42844,42844,42844,21,6,10,6661,108,6769,2020-03-16,Early,Kentucky,Democrat,Republican,Republican,Republican,Appointed,TRUE,South,4467673,39,0.0812482494631687,0.032018974206937445,-0.13103154975541068,0.18763686763686763,0.00904977375565611,0.032432432432432434
LA,2020-04-24,26140,117576,NA,1697,NA,NA,NA,286,NA,14927,761eb87ac93499b5fb06a6e97831509ba059a93a,2020-04-24T20:00:00Z,1601,NA,143716,143716,143716,22,61,0,0,401,401,2020-03-16,Early,Louisiana,Democrat,Republican,Republican,Republican,Republican,TRUE,South,4648794,39,0.1818864983717888,0.01557947084191305,0.012745773373868494,0.002798032306457803,NA,0.03961038961038961
MA,2020-04-24,50969,164244,NA,3847,4752,1034,NA,NA,NA,NA,53c1331a49e67ba4fa2e906460b840e66d8c6483,2020-04-24T20:00:00Z,2877,4752,215213,215213,215213,25,108,259,7920,2977,10897,2020-03-17,Middle,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,6892503,38,0.23683048886452027,0.06203117186197699,0.00825675509509926,0.05333405117562991,0.05764522590696639,0.0390032502708559
MD,2020-04-24,16616,68100,NA,1425,3618,547,NA,NA,NA,1108,ebd5ef92f9c25522834cf6c4f70473db25f58ad0,2020-04-24T20:00:00Z,798,3618,84716,84716,84716,24,50,141,3737,879,4616,2020-03-16,Early,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,South,6045680,39,0.19613768355446431,0.055855626866620066,-0.0016757648598842547,0.057627965043695384,0.04055220017256255,0.06684491978609626
ME,2020-04-24,965,16784,NA,39,152,17,NA,7,NA,499,c7a47fb0ed98211cf2097f3a6b07693314af72f8,2020-04-24T20:00:00Z,47,152,17749,17749,17749,23,3,2,0,28,28,2020-04-02,Late,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,1344212,22,0.05436926024001352,0.029882604055496264,0.028257904439701192,0.001580046272783703,0.013333333333333334,0.06818181818181818
MI,2020-04-24,36641,99655,NA,3022,NA,1176,NA,965,NA,3237,923220558245c03c017947c499c8fc1783dbc2d8,2020-04-24T20:00:00Z,3085,NA,136296,136296,136296,26,108,0,6625,1350,7975,2020-03-16,Early,Michigan,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,9986857,39,0.2688340083348007,0.03825337904848262,-0.022497272943016525,0.062148829887547635,NA,0.03627813234800134
MN,2020-04-24,3185,50602,NA,278,756,111,281,NA,NA,1594,c5ce2838a0ba69d5ff19e9c7c90f569983b4f9b3,2020-04-24T20:00:00Z,221,756,53787,53787,53787,27,21,44,1996,243,2239,2020-03-18,Middle,Minnesota,Democrat,Republican,Democrat,Democrat,Appointed,TRUE,North Central,5639632,37,0.05921505196422928,0.08259687287559483,0.03753144136505772,0.0434352448203616,0.06179775280898876,0.105
MO,2020-04-24,6625,58582,NA,877,NA,NA,NA,NA,NA,NA,432e7f6c2db692492d977adee9b8e105c1a79c52,2020-04-24T20:00:00Z,262,NA,65207,65207,65207,29,44,0,5453,304,5757,2020-03-19,Late,Missouri,Republican,Republican,Republican,Appointed,Appointed,TRUE,North Central,6137428,36,0.10159952152376278,0.048093656067077994,-0.04444050262616673,0.0968376787216148,NA,0.2018348623853211
MS,2020-04-24,5434,50236,NA,586,970,148,NA,74,NA,NA,73144c02bd3cb13a6b64e64d9defc72c4595c7a4,2020-04-24T20:00:00Z,209,970,55670,55670,55670,28,8,24,0,281,281,2020-03-20,Late,Mississippi,Republican,Republican,Republican,Democrat,Republican,TRUE,South,2976149,35,0.09761092150170649,0.054531340966427325,0.0492084918800699,0.005073209482027117,0.02536997885835095,0.03980099502487562
MT,2020-04-24,444,11683,NA,12,59,NA,NA,NA,NA,325,8c4ba70b117f00d2ba00a7f151047821957db57f,2020-04-24T20:00:00Z,14,59,12127,12127,12127,30,0,0,250,2,252,2020-03-16,Early,Montana,Democrat,Republican,Republican,Republican,Republican,TRUE,West,1068778,39,0.036612517522882825,0.004524886877828055,-0.016349205316742145,0.021221052631578946,0,0
NC,2020-04-24,8052,92532,NA,477,NA,NA,NA,NA,NA,NA,eb5de48c27ec8fc857469c70eaa10511a29576e2,2020-04-24T20:00:00Z,269,NA,100584,100584,100584,37,16,0,3955,444,4399,2020-03-16,Early,North Carolina,Democrat,Republican,Republican,Democrat,Republican,TRUE,South,10488084,39,0.08005249343832022,0.0583596214511041,0.0120726917987645,0.045734781930654465,NA,0.06324110671936758
ND,2020-04-24,748,16701,NA,17,67,NA,NA,NA,NA,285,3890e0e4d2886291332c57ca0a8fcf9338041230,2020-04-24T20:00:00Z,15,67,17449,17449,17449,38,0,2,1080,39,1119,2020-03-16,Early,North Dakota,Republican,Republican,Republican,Republican,Republican,TRUE,North Central,762062,39,0.0428677861195484,0.05500705218617771,-0.01265028860366722,0.06852418860992039,0.03076923076923077,0
NE,2020-04-24,2124,16488,NA,NA,NA,NA,NA,NA,NA,NA,c18de36cb2defc78b7b566e2c2f5a111d2f27c0d,2020-04-24T20:00:00Z,47,NA,18612,18612,18612,31,2,0,941,311,1252,2020-03-23,Late,Nebraska,Republican,N/A,N/A,Republican,Appointed,TRUE,North Central,1934408,32,0.11411992263056092,0.1715388858246001,0.09273130903474906,0.07211981566820276,NA,0.044444444444444446
NH,2020-04-24,1670,15139,424,92,218,NA,NA,NA,NA,551,14567594704ba326371b7cf3026e60c0d1227cca,2020-04-24T20:00:00Z,51,218,17233,16809,16809,33,3,5,715,82,797,2020-03-16,Early,New Hampshire,Republican,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,1359711,39,0.09690709684906865,0.05163727959697733,-0.006702255750000059,0.05873318179025619,0.023474178403755867,0.0625
NJ,2020-04-24,102196,103766,NA,6847,NA,1933,NA,1487,NA,NA,faf3e71e884663da3255fb21eface8a0fbb0675e,2020-04-24T20:00:00Z,5617,NA,205962,205962,205962,34,249,0,3607,2207,5814,2020-03-18,Middle,New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,8882190,37,0.49618861731775765,0.02207242796707638,-0.006779152553620949,0.02904850410696085,NA,0.0463859910581222
NM,2020-04-24,2379,44184,NA,123,367,NA,NA,NA,NA,573,bd558092c97d55580677a4dee402fda0a4e35e4e,2020-04-24T20:00:00Z,78,367,46563,46563,46563,35,7,36,5162,169,5331,2020-03-16,Early,New Mexico,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,2096829,39,0.05109206880999936,0.07647058823529412,-0.04677457510950237,0.12929278230500582,0.10876132930513595,0.09859154929577464
NV,2020-04-24,4398,31794,NA,NA,NA,NA,NA,NA,NA,NA,d31ce3c60d63a831d401336bcc308933cc18df5f,2020-04-24T20:00:00Z,197,NA,36192,36192,36192,32,8,0,1253,190,1443,2020-03-16,Early,Nevada,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,3080156,39,0.1215185676392573,0.04515209125475285,0.003481159560836504,0.04152637485970819,NA,0.042328042328042326
NY,2020-04-24,271590,459066,NA,14258,60414,5016,NA,NA,NA,46156,8c8b938ac222cb1c860ab74555d0d6e0710763c6,2020-04-24T20:00:00Z,16162,60414,730656,730656,730656,36,422,1149,26606,8130,34736,2020-03-18,Middle,New York,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,19453561,37,0.37170706871633163,0.03085857435663858,-0.01814930745282009,0.049913783193470514,0.019387496836243988,0.026810673443456164
OH,2020-04-24,14581,92528,NA,NA,3053,NA,920,NA,NA,NA,34a0e895b9461e74bc985ce29bdbd2a08429ac08,2020-04-24T20:00:00Z,690,3053,107109,107109,107109,39,34,93,4345,439,4784,2020-03-17,Middle,Ohio,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,11689100,38,0.13613235115629874,0.0310422853910338,-0.015008993347829085,0.04675299291473247,0.03141891891891892,0.051829268292682924
OK,2020-04-24,3121,43019,NA,310,637,155,NA,NA,NA,1961,45eb43e3b66718cb54ab3ba16ff06633636cac4d,2020-04-24T20:00:00Z,188,637,46140,46140,46140,40,9,15,0,104,104,2020-03-17,Middle,Oklahoma,Republican,Republican,Republican,Republican,Republican,TRUE,South,3956971,38,0.067641959254443,0.03447132913490222,0.03213961701160103,0.0022591015726822487,0.024115755627009645,0.05027932960893855
OR,2020-04-24,2177,43315,NA,258,520,56,NA,29,NA,NA,996ff852af8a8e4293af5cbda7a30aae5c5c2e3a,2020-04-24T20:00:00Z,86,520,45492,45492,45492,41,3,8,1466,50,1516,2020-03-16,Early,Oregon,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,4217737,39,0.04785456783610305,0.023507287259050307,-0.010600619479078551,0.034473349099508825,0.015625,0.03614457831325301
PA,2020-04-24,38652,147491,NA,2746,NA,NA,NA,679,NA,NA,da71f159cd15244f6531bc01d2a99839c380f182,2020-04-24T20:00:00Z,1492,NA,186143,186143,186143,42,71,0,5430,2005,7435,2020-03-16,Early,Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed,TRUE,Northeast,12801989,39,0.20764680917359235,0.054711163260294154,0.012583456838813524,0.041604181122277685,NA,0.04996481351161154
RI,2020-04-24,6699,40558,NA,267,576,77,NA,48,NA,377,47724873281d1d1b01f776aed68c135bddab0703,2020-04-24T20:00:00Z,202,576,47257,47257,47257,44,13,0,2395,443,2838,2020-03-23,Late,Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,1059361,32,0.1417567767738113,0.07081202046035806,0.006504839763906667,0.06389157792836399,0,0.06878306878306878
SC,2020-04-24,4917,39546,NA,NA,837,NA,NA,NA,NA,3317,cf04cfa9bafffa432f94988977a03941e3544354,2020-04-24T20:00:00Z,150,837,44463,44463,44463,45,0,0,0,0,0,2020-03-16,Middle,South Carolina,Republican,Republican,Republican,Republican,Appointed,TRUE,South,5148714,39,0.11058633020713853,0,-1.8730934299367674e-9,0,0,0
SD,2020-04-24,2040,12784,NA,61,124,NA,NA,NA,NA,1190,fe0f0713d07adde74acc0e3c70e19c3a547f8011,2020-04-24T20:00:00Z,10,124,14824,14824,14824,46,1,5,675,84,759,2020-03-16,Middle,South Dakota,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,884659,39,0.13761467889908258,0.04294478527607362,-0.010454774982106412,0.05396373977959474,0.04201680672268908,0.1111111111111111
TN,2020-04-24,8726,122602,NA,NA,808,NA,NA,NA,NA,4370,ff1cd14610486e269b9f1930e3710a3a2f625f40,2020-04-24T20:00:00Z,168,808,131328,131328,131328,47,-2,15,7768,460,8228,2020-03-20,Late,Tennessee,Republican,Republican,Republican,Appointed,Appointed,TRUE,South,6829174,35,0.06644432261208577,0.05564964916525526,-0.01048921348899105,0.06683996750609261,0.018915510718789406,-0.011764705882352941
TX,2020-04-24,22806,219741,NA,1674,NA,NA,NA,NA,NA,9156,96ecb2969e502271181b7c335c617bb543a74429,2020-04-24T20:00:00Z,593,NA,242547,242547,242547,48,32,0,16607,862,17469,2020-03-23,Late,Texas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,28995881,32,0.09402713700849732,0.03928180823915421,-0.035570545858275605,0.07761309412736918,NA,0.0570409982174688
UT,2020-04-24,3782,80915,NA,NA,315,NA,NA,NA,NA,1252,37e48caa71b06a19b7f87b860a87a7384ef07d57,2020-04-24T20:00:00Z,39,315,84697,84697,84697,49,4,14,3900,170,4070,2020-03-16,Middle,Utah,Republican,Republican,Republican,Republican,Appointed,TRUE,West,3205958,39,0.044653293505082826,0.04706533776301218,-0.003249962531007631,0.050479367953663166,0.046511627906976744,0.11428571428571428
VA,2020-04-24,11169,57846,487,1399,1837,379,NA,220,NA,1672,3f402e7509a8c6d530e6725517c7d6888f02a03a,2020-04-24T20:00:00Z,410,1837,69502,69015,69015,51,38,84,3955,542,4497,2020-03-16,Middle,Virginia,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,South,8535519,39,0.16070041149894967,0.05100216429848499,-0.016925405183965427,0.069097061990463,0.04791785510553337,0.10215053763440861
VT,2020-04-24,827,13483,NA,32,NA,NA,NA,NA,NA,NA,4e15763bc9f58653bdcd1f50ac1adfe7ebf514ea,2020-04-24T20:00:00Z,44,NA,14310,14310,14310,50,1,0,456,2,458,2020-03-18,Late,Vermont,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,623989,37,0.05779175401816911,0.0024242424242424242,-0.02965893768727273,0.03306381749927808,NA,0.023255813953488372
WA,2020-04-24,13297,161533,NA,551,NA,164,NA,NA,NA,NA,46f925587d10b0a54efab8bb208383696c130722,2020-04-24T20:00:00Z,659,NA,174830,174830,174830,53,5,0,2897,302,3199,2020-03-17,Middle,Washington,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,7614893,38,0.07605674083395299,0.023239707579838398,0.004516699851558174,0.018638823988673375,NA,0.00764525993883792
WI,2020-04-24,5356,54573,206,361,1353,143,346,NA,NA,NA,cd1c02eb6fa254fabc1c9046c62cf01460252fc0,2020-04-24T20:00:00Z,262,1353,60135,59929,59929,55,5,35,3117,304,3421,2020-03-18,Late,Wisconsin,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,5822434,37,0.08906626756464621,0.060174188440221696,-2.2585272921602976e-4,0.06041369094852669,0.026555386949924126,0.019455252918287938
WV,2020-04-24,988,28823,NA,97,NA,36,NA,19,NA,439,591be5be8c38d5498583029ebc11983c759fbe2f,2020-04-24T20:00:00Z,32,NA,29811,29811,29811,54,3,0,1885,21,1906,2020-03-16,Middle,West Virginia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,1792147,39,0.0331421287444232,0.02171664943123061,-0.04360795269389863,0.06830317147464612,NA,0.10344827586206896
WY,2020-04-24,349,7696,NA,16,54,NA,NA,NA,NA,321,1a890b6acca5a517e72bb6657dec64e367e60318,2020-04-24T20:00:00Z,7,54,8045,8045,8045,56,0,2,455,23,478,2020-03-20,Late,Wyoming,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,578759,35,0.04338098197638285,0.0705521472392638,0.006944450288343503,0.06316902339104004,0.038461538461538464,0
AK,2020-04-23,337,11824,NA,42,NA,NA,NA,NA,NA,209,59a03ea91067d205ddc33b0e77890986c467ae17,2020-04-23T20:00:00Z,9,NA,12161,12161,12161,02,0,0,0,2,2,2020-03-16,Early,Alaska,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,731545,38,0.027711536880190773,0.005970149253731343,0.005804711591044867,1.6448721111933547e-4,NA,0
AL,2020-04-23,5778,46863,NA,NA,768,NA,288,NA,170,NA,78a9b97c7fb690ae69dcfa0f2e6a789f0ca0171b,2020-04-23T20:00:00Z,197,768,52641,52641,52641,01,3,38,3568,313,3881,2020-03-19,Late,Alabama,Republican,Republican,Republican,Republican,Appointed,TRUE,South,4903185,35,0.10976235253889553,0.05727355901189387,-0.02067477908874655,0.07959392945036915,0.052054794520547946,0.015463917525773196
AR,2020-04-23,2465,29125,NA,101,291,NA,NA,24,57,902,bd177e23b3ca561ac31a19a983ccf50f778418a8,2020-04-23T20:00:00Z,45,291,31590,31590,31590,05,3,0,1688,189,1877,2020-03-17,Middle,Arkansas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,3017804,37,0.07803102247546692,0.08304042179261863,0.01868882103954322,0.06317100259145829,0,0.07142857142857142
AZ,2020-04-23,5769,52928,NA,699,NA,305,NA,201,NA,1282,51879cc631415d5645d3798bf6a354bad9d85098,2020-04-23T20:00:00Z,249,NA,58697,58697,58697,04,20,0,1786,310,2096,2020-03-16,Early,Arizona,Republican,Republican,Republican,Republican,Appointed,TRUE,West,7278717,38,0.09828440976540538,0.05678695731819015,0.019050355451548,0.03703114785957845,NA,0.08733624454148471
CA,2020-04-23,37369,444728,NA,4929,NA,1531,NA,NA,NA,NA,eccfc506140d6c27c2c6c46e6c69e5a874433028,2020-04-23T20:00:00Z,1469,NA,482097,482097,482097,06,115,0,14797,1973,16770,2020-03-19,Late,California,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,39512223,35,0.07751344646409332,0.055740761667985084,0.019016252877217817,0.0360391724529202,NA,0.08493353028064993
CO,2020-04-23,10878,39767,NA,859,2123,NA,NA,NA,NA,NA,951c9b0fd52846205397a6106ad8599d53da1ad0,2020-04-23T20:00:00Z,508,2123,50645,50645,50645,08,22,120,1510,431,1941,2020-03-23,Late,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,5758736,31,0.2147892190739461,0.04125586292715612,0.0013491071289365106,0.03985298948751643,0.05991013479780329,0.04526748971193416
CT,2020-04-23,23100,48397,NA,1947,NA,NA,NA,NA,NA,NA,5992678999a7d5ef8b2297241fc9af3ab3db6207,2020-04-23T20:00:00Z,1639,NA,71497,71497,71497,09,95,0,948,631,1579,2020-03-17,Middle,Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,3565287,37,0.32309047932081064,0.028083136766211225,0.005378081388668852,0.022583597929002545,NA,0.06152849740932642
DE,2020-04-23,3308,13604,NA,290,NA,NA,NA,NA,NA,643,ac5dc066723ea288a993943ed710da099f74ef9a,2020-04-23T20:00:00Z,92,NA,16912,16912,16912,10,3,0,251,108,359,2020-03-16,Early,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,South,973764,38,0.195600756859035,0.03375,0.011806040819062405,0.021687911556817496,NA,0.033707865168539325
FL,2020-04-23,28832,267876,1301,NA,4693,NA,NA,NA,NA,NA,3ba322cf9574a404507b53da1d1a3b614ebb7edf,2020-04-23T20:00:00Z,979,4693,298009,296708,296708,12,69,224,7558,523,8081,2020-03-16,Early,Florida,Republican,Republican,Republican,Republican,Appointed,TRUE,South,21477737,38,0.09674875591005641,0.018474690027906318,-0.009289867778444972,0.028024906428411267,0.05012307003803983,0.07582417582417582
GA,2020-04-23,21512,79550,NA,NA,4069,NA,NA,NA,NA,NA,35914be999993cf4648e58b6412ac0a59debca47,2020-04-23T20:00:00Z,872,4069,101062,101062,101062,13,36,110,6218,772,6990,2020-03-18,Middle,Georgia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,10617423,36,0.21285943282341532,0.03722275795564127,-0.03451723330877533,0.07430478782209371,0.027784794139934326,0.0430622009569378
HI,2020-04-23,592,25536,NA,NA,63,NA,NA,NA,NA,444,f9b8c542c68f9ac40215d0074fab036ab927832b,2020-04-23T20:00:00Z,12,63,26128,26128,26128,15,0,7,776,10,786,2020-03-23,Late,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,West,1415872,31,0.0226576852418861,0.01718213058419244,-0.013417434243986287,0.03101570515350012,0.125,0
IA,2020-04-23,3924,25338,NA,282,NA,102,NA,55,NA,1492,2f57b0c1c91300dcdcce90d1cf8e34677e2ccd34,2020-04-23T20:00:00Z,96,NA,29262,29262,29262,19,6,0,842,176,1018,2020-03-16,Early,Iowa,Republican,Republican,Republican,Democrat,Appointed,TRUE,North Central,3155070,38,0.13409883124871846,0.04695837780149413,0.01053558771718242,0.03604305339187084,NA,0.06666666666666667
ID,2020-04-23,1802,16290,NA,NA,162,NA,60,NA,NA,767,b757b69da6b057e2b0dab77c9af64e77496ded45,2020-04-23T20:00:00Z,54,162,18092,18092,18092,16,3,4,326,36,362,2020-03-23,Late,Idaho,Republican,Republican,Republican,Republican,Appointed,TRUE,West,1787065,31,0.0996020340481981,0.020385050962627407,-3.167450736120914e-5,0.02041737168640722,0.02531645569620253,0.058823529411764705
IL,2020-04-23,36934,136382,NA,4877,NA,1268,NA,766,NA,NA,c877cdfb8918f0fd0fef4f7e8fdc1533029089f7,2020-04-23T20:00:00Z,1688,NA,173316,173316,173316,17,123,0,7144,1826,8970,2020-03-17,Middle,Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,North Central,12671821,37,0.2131020794387131,0.052010937678022104,-0.002436075101572303,0.054579971523493115,NA,0.07859424920127796
IN,2020-04-23,13039,59001,NA,NA,NA,652,NA,333,NA,NA,41aa8a245965eec8c20014cab47e6b20f4c8d32e,2020-04-23T20:00:00Z,706,NA,72040,72040,72040,18,45,0,1969,601,2570,2020-03-19,Late,Indiana,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,6732219,35,0.18099666851749027,0.04831966554108377,0.010921257069464473,0.03699438606592774,NA,0.0680786686838124
KS,2020-04-23,2482,18836,NA,NA,442,NA,NA,NA,NA,NA,8914a9cc9531a63ffb3cf1c02d945d0667084924,2020-04-23T20:00:00Z,112,442,21318,21318,21318,20,2,10,844,271,1115,2020-03-18,Middle,Kansas,Democrat,Republican,Republican,Republican,Republican,TRUE,North Central,2913314,36,0.11642743221690591,0.12256897331524197,0.06385500167164172,0.055189823293570264,0.023148148148148147,0.01818181818181818
KY,2020-04-23,3373,32702,NA,301,1105,161,564,NA,NA,1311,e2aacff8a5e9eabe7918b815ad4558585c306d6a,2020-04-23T20:00:00Z,185,1105,36075,36075,36075,21,14,29,2566,181,2747,2020-03-16,Early,Kentucky,Democrat,Republican,Republican,Republican,Appointed,TRUE,South,4467673,38,0.0934996534996535,0.05670426065162907,-0.02376051529323309,0.08242318771003361,0.02695167286245353,0.08187134502923976
LA,2020-04-23,25739,117576,NA,1727,NA,NA,NA,274,NA,NA,1ad45a496a09b4651310c715c7c3f6d771121f01,2020-04-23T20:00:00Z,1540,NA,143315,143315,143315,22,67,0,0,481,481,2020-03-16,Early,Louisiana,Democrat,Republican,Republican,Republican,Republican,TRUE,South,4648794,38,0.17959739036388375,0.019043471375405813,0.01562331155515087,0.0033675455423778653,NA,0.04548540393754243
MA,2020-04-23,47992,156324,NA,3851,4493,1034,NA,NA,NA,NA,2b497a71d0fc88817b7016fb51edaede26c804fa,2020-04-23T20:00:00Z,2769,4493,204316,204316,204316,25,172,237,11535,3079,14614,2020-03-17,Middle,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,6892503,37,0.23489105111689734,0.068554761427649,-0.007875177414067291,0.07703661532298026,0.05568609022556391,0.06623026569118214
MD,2020-04-23,15737,64363,NA,1405,3477,515,NA,NA,NA,1040,99cd5fdf1a12129b3862f58f0c681ab83f0af3c5,2020-04-23T20:00:00Z,748,3477,80100,80100,80100,24,117,152,2609,962,3571,2020-03-16,Early,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,South,6045680,38,0.1964669163545568,0.06510998307952623,0.017625489987411105,0.04666204968051327,0.045714285714285714,0.18541996830427893
ME,2020-04-23,937,16784,NA,42,150,18,NA,11,NA,485,6c869cbae85b6106924d5dc464b6681fa01d97bd,2020-04-23T20:00:00Z,44,150,17721,17721,17721,23,5,6,0,30,30,2020-04-02,Late,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,1344212,21,0.05287511991422606,0.03307607497243661,0.031327175214994486,0.0016957775139901645,0.041666666666666664,0.1282051282051282
MI,2020-04-23,35291,93030,NA,3611,NA,1148,NA,1027,NA,3237,1e1b7f955a01792c910e4e4aa917e2c08cc6c6bc,2020-04-23T20:00:00Z,2977,NA,128321,128321,128321,26,164,0,8771,1325,10096,2020-03-16,Early,Michigan,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,9986857,38,0.27502123580707755,0.03900959783312725,-0.04273727768650994,0.08539648974413196,NA,0.05830074653394952
